Column	Type	Name	Size	Score	P-value	Adj. p-value	Mean	Median
t.statistic.M18-M03	GOCC slim name	plasma membrane	922	0.15391091970787435	1.1162289836364932E-13	9.69723929534204E-13	0.6554272726231154	0.5691793601252623
t.statistic.M18-M03	GOBP slim name	protein complex assembly	277	0.1271092283677928	3.491948948173252E-4	0.00105872920237168	0.45970049178843664	0.5604097782961345
t.statistic.M03-D14	GOBP slim name	response to external stimulus	419	0.11773137485474933	5.746911611835094E-5	2.68503247438197E-4	0.3117130301890605	0.5581549085088817
t.statistic.M18-M03	GOCC slim name	site of polarized growth	90	0.17248548199767705	0.0049230997087062744	0.0134341899625043	0.8672778964084903	0.5465274399447231
t.statistic.M18-M03	GOBP slim name	homeostatic process	485	0.11221625374904773	4.164357317927862E-5	1.46523683408573E-4	0.526516654910718	0.544468948255391
t.statistic.M18-M03	GOMF name	protein homodimerization activity	318	0.13734242498927435	3.7168397336397034E-5	0.00148673589345588	0.6514445768041596	0.5412302155795192
t.statistic.M03-D14	GOMF name	enzyme regulator activity	523	0.13805440097278524	1.7865035912099575E-7	3.28240259824976E-5	0.5460609465385399	0.5304170346357852
t.statistic.M18-M03	GOCC slim name	Golgi apparatus	344	0.14854195457358682	3.682273026828944E-6	1.7649515542387E-5	0.5635007872313246	0.5299517953533273
t.statistic.M03-D14	GOMF name	cytoskeletal protein binding	468	0.12256526542240821	1.0507164523066572E-5	9.65258180852382E-4	0.5161418332438751	0.5297889173500443
t.statistic.M03-D14	GOCC slim name	cytoskeleton	381	0.12185203233960565	6.770794173259701E-5	4.2471345268629E-4	0.4171862006750742	0.5274602838053665
t.statistic.M03-D14	GOBP slim name	cellular ion homeostasis	193	0.1253135195619885	0.0030226409862276773	0.00957169645638764	0.7577611944229784	0.5263900992441236
t.statistic.M18-M03	GOMF name	cytoskeletal protein binding	464	0.14525926330535804	2.0039641756193722E-7	1.58026889277413E-5	0.6224825462667477	0.5261294591241965
t.statistic.M18-M03	GOBP slim name	locomotion	333	0.11704063532333499	3.2841626860391954E-4	0.0010064369521733	0.6047200584081674	0.5243765353057208
t.statistic.M18-M03	GOBP slim name	cell motility	283	0.11392972739856834	0.0012046010925132163	0.00330107030159872	0.6157925204089462	0.5203584827974096
t.statistic.M18-M03	GOMF name	identical protein binding	990	0.1304925285917021	9.226815898319946E-11	2.54660118793631E-8	0.5065838646509574	0.5136012805976831
t.statistic.M03-D14	GOBP slim name	homeostatic process	478	0.1193867429756977	1.465474123888228E-5	7.73444676496565E-5	0.4717903971412662	0.5099439743214789
t.statistic.M18-M03	GOCC slim name	cell projection	620	0.11421893381214791	3.2192661424188485E-6	1.7168868225814E-5	0.5079981823876828	0.5093372218811685
t.statistic.M03-D14	GOBP slim name	cellular homeostasis	273	0.11933043881925669	8.533349371583943E-4	0.0030784867986094	0.5744551196538631	0.5081616013466815
t.statistic.M18-M03	GOMF name	receptor binding	478	0.13021761700158227	2.3099113172339712E-6	1.4167456079035E-4	0.6072764993776049	0.5077889327479661
t.statistic.M03-D14	GOCC slim name	neuron projection	374	0.10799471522831909	4.639799489653972E-4	0.00228675831990089	0.4132903183937641	0.5033495004248061
t.statistic.M03-D14	GOCC slim name	plasma membrane	925	0.16165786018857065	5.279927785658179E-15	1.82157508605207E-13	0.6686685212206834	0.49940097894488594
t.statistic.M18-M03	GOBP slim name	response to biotic stimulus	315	0.11226237246182853	7.901361751795192E-4	0.0022140004827698	0.5657747659302601	0.4875827691092764
t.statistic.M18-M03	GOCC slim name	cytoskeleton	388	0.13218400603174243	1.3200482649441215E-5	5.91892609120106E-5	0.6721729785396992	0.4859780452301893
t.statistic.M03-D14	GOMF name	kinase binding	345	0.13939100208974978	1.354494467504444E-5	0.00120418927498137	0.6301707545265516	0.47136537185548055
t.statistic.M03-D14	GOBP slim name	membrane invagination	202	0.14498485781969953	4.5276608976551887E-4	0.0017676484326462	0.7356071362114299	0.4713130416354048
t.statistic.M18-M03	GOCC slim name	neuron projection	373	0.08434698576882582	0.006342202464383137	0.0169531950490242	0.33832688192150173	0.4683551052196798
t.statistic.M03-D14	GOMF name	enzyme activator activity	231	0.14920116294323488	1.18207435753752E-4	0.00775665935565096	0.6295566245985912	0.42629420920549094
t.statistic.M03-D14	GOBP slim name	locomotion	332	0.11305743151980117	5.282253629777644E-4	0.00203438146552247	0.37783838701779526	0.419704997586153
t.statistic.M03-D14	GOBP slim name	endocytosis	184	0.1493686801540693	5.523637836346245E-4	0.00207136418862984	0.7832996857333692	0.4158908609355139
t.statistic.M03-D14	GOCC slim name	cell projection	625	0.0940995077622112	1.1681507857714017E-4	6.44819233745814E-4	0.2907241904029537	0.41049673495719613
t.statistic.M03-D14	GOMF name	protein kinase binding	301	0.1298620486118931	1.4393746056043098E-4	0.00862373133270756	0.6114236328090367	0.3942526096608187
t.statistic.M03-D14	GOBP slim name	response to chemical stimulus	1149	0.10794992886333883	1.2877858071300495E-8	1.26558260355884E-7	0.26617441994026636	0.38733909954040324
t.statistic.M03-D14	GOBP slim name	cellular component movement	376	0.10042910942963648	0.0011000978952055086	0.00387071481646383	0.33700150305623516	0.38136482711206626
t.statistic.M03-D14	GOBP slim name	cell motility	281	0.10385437211320606	0.0032556152653512456	0.010196157699177	0.3705599245158672	0.3739072977827773
t.statistic.M03-D14	GOBP slim name	response to endogenous stimulus	435	0.10354658197217188	3.183052074345768E-4	0.00125995811276187	0.3303640674109821	0.3634619096955945
t.statistic.M18-M03	GOBP slim name	response to chemical stimulus	1155	0.08411195221890408	9.27950068429849E-6	3.72486999299306E-5	0.31884494449034717	0.361920511860729
t.statistic.M03-D14	GOMF name	enzyme binding	1031	0.12615005382765118	1.8456753492651647E-10	1.01733625251496E-7	0.376263650720674	0.36129223264526933
t.statistic.M03-D14	GOBP slim name	signal transduction	907	0.11295259095920616	5.949119957306367E-8	4.98676231715387E-7	0.3674137066548798	0.36129223264526933
t.statistic.M18-M03	GOBP slim name	response to external stimulus	416	0.08019539797107215	0.0063356431523533385	0.0143306214160373	0.4325063424258409	0.3552484471173766
t.statistic.M18-M03	GOBP slim name	cytoskeleton organization	454	0.08206730517096705	0.003635736468033365	0.00870743607890344	0.30025330289391494	0.35385449678068187
t.statistic.M18-M03	GOMF name	protein binding	2749	0.06973129646506845	4.162555346151429E-6	2.29773055107559E-4	0.24232156268714697	0.2935634891374784
t.statistic.M18-M03	GOMF name	catalytic activity	2215	0.05553696817561645	3.6439453934810517E-4	0.010476343006258	0.16410794445310692	0.2825094332665089
t.statistic.M18-M03	GOBP slim name	response to stimulus	2209	0.06487269510422128	3.1598797978800637E-5	1.17886944088444E-4	0.18896116057881593	0.26166367028494053
t.statistic.M03-D14	GOBP slim name	response to stimulus	2214	0.07961472068913299	2.8983570323731643E-7	2.11803013904193E-6	0.06855557782969135	0.2212829064203587
t.statistic.M03-D14	GOCC slim name	cytosol	2070	0.0693975139091908	1.047026916944314E-5	8.02720636323974E-5	0.12029238844791676	0.16000574163158965
t.statistic.M18-M03	GOBP slim name	biosynthetic process	936	-0.06487186472883252	0.001636565580030293	0.00420199270548318	-0.3469217484555211	0.11536362074877528
t.statistic.M18-M03	GOBP slim name	metabolic process	3149	-0.060137028634632786	7.389574381955464E-5	2.44887058006664E-4	-0.06682808936676787	0.1076339791213435
t.statistic.M03-D14	GOMF name	protein binding	2773	0.0576493035794381	1.2832658394169445E-4	0.00786853020265703	0.007581762207240519	0.07829462220168529
t.statistic.M18-M03	GOCC slim name	macromolecular complex	2493	-0.07088628501428214	3.5252763673073297E-6	1.75004791091328E-5	-0.11748099764249868	0.058074668620041375
t.statistic.M18-M03	GOBP slim name	cellular metabolic process	2897	-0.08207051017776958	5.752328477823883E-8	3.33139252292359E-7	-0.1340084156760235	0.04747334564004787
t.statistic.M18-M03	GOBP slim name	primary metabolic process	2754	-0.09648030574749779	1.8968950211251823E-10	1.38619251543763E-9	-0.15847526332909384	0.01459672514472958
t.statistic.M18-M03	GOCC slim name	cytoplasm	2293	-0.057837148894232616	1.8691523365847197E-4	7.21700485514656E-4	-0.1195696693556473	-0.004539509571537033
t.statistic.M18-M03	GOBP slim name	macromolecular complex assembly	564	-0.08158183233536152	0.0014273678800304842	0.00376666523896933	-0.3027497211629926	-0.03555655841202934
t.statistic.M18-M03	GOBP slim name	protein modification by small protein conjugation or removal	241	-0.10046334345249898	0.008176941156125845	0.0180653351123711	-0.3380484296184478	-0.09748293160048879
t.statistic.M03-D14	GOCC slim name	intracellular membrane-bounded organelle	3588	-0.05625743037858454	2.554198896959993E-4	0.00135569018377107	-0.33413180335973014	-0.17872896693373816
t.statistic.M18-M03	GOCC slim name	intracellular non-membrane-bounded organelle	1406	-0.13781192203910395	6.386146366686881E-15	6.34053103549626E-14	-0.386847279447207	-0.1810227912045364
t.statistic.M18-M03	GOBP slim name	cellular macromolecular complex assembly	415	-0.11977661337872254	4.646753273493394E-5	1.59557190716339E-4	-0.3961806421398362	-0.19034470894055097
t.statistic.M18-M03	GOBP slim name	macromolecule modification	587	-0.11699577696034082	3.231627664890844E-6	1.3954755825665E-5	-0.3260023726724186	-0.22227388950633462
t.statistic.M18-M03	GOBP slim name	macromolecule metabolic process	2175	-0.18986316964636685	6.298176473463677E-34	4.48745073734287E-32	-0.41861432227116	-0.23824177083206435
t.statistic.M18-M03	GOBP slim name	embryo development	139	-0.12982128793538708	0.008818605407782357	0.0191855155818166	-0.5784200521960893	-0.25915346120509014
t.statistic.M03-D14	GOCC slim name	macromolecular complex	2527	-0.05986727953486967	8.057812063814978E-5	4.63324193669361E-4	-0.3943540789347778	-0.2614884625591442
t.statistic.M18-M03	GOBP slim name	transcription from RNA polymerase II promoter	111	-0.15703778616875322	0.004539493591672001	0.0106045547018567	-0.35463018464852586	-0.30856011320453447
t.statistic.M18-M03	GOCC slim name	small nuclear ribonucleoprotein complex	58	-0.22980739360049698	0.00256139568617305	0.00773986957343596	-0.6822420763151974	-0.32983988829675737
t.statistic.M18-M03	GOMF name	RNA polymerase II regulatory region sequence-specific DNA binding	187	-0.15215576347014578	3.921621942048125E-4	0.0108236765600528	-0.32343514918628447	-0.3626736108827502
t.statistic.M18-M03	GOMF name	RNA polymerase II regulatory region DNA binding	187	-0.15215576347014578	3.921621942048125E-4	0.0108236765600528	-0.32343514918628447	-0.3626736108827502
t.statistic.M18-M03	GOBP slim name	nitrogen compound metabolic process	1583	-0.1898650617484662	5.950136389584102E-29	2.82631478505245E-27	-0.5347948010415375	-0.3626736108827502
t.statistic.M18-M03	GOMF name	core promoter proximal region sequence-specific DNA binding	157	-0.16154182118673663	5.441159791290955E-4	0.0144400009845798	-0.5424113325971761	-0.37023960001089096
t.statistic.M18-M03	GOMF name	core promoter proximal region DNA binding	157	-0.16154182118673663	5.441159791290955E-4	0.0144400009845798	-0.5424113325971761	-0.37023960001089096
t.statistic.M18-M03	GOBP slim name	cell division	172	-0.1499564313135547	7.923791201491909E-4	0.0022140004827698	-0.8851437564281781	-0.3719593773182278
t.statistic.M18-M03	KEGG name	Ubiquitin mediated proteolysis	79	-0.245198963746536	1.7767845534662083E-4	0.00173730045227807	-0.9043825131394106	-0.3832017614015632
t.statistic.M18-M03	GOBP slim name	cell cycle	180	-0.16030678466076695	2.454891402161784E-4	7.68839614962757E-4	-0.5874642987470313	-0.3867568711361564
t.statistic.M03-D14	GOBP slim name	metabolic process	3188	-0.10835110332374567	6.551329832829885E-13	1.09831117785677E-11	-0.47886171708757375	-0.3869929332447022
t.statistic.M03-D14	GOCC slim name	protein complex	1845	-0.08087889741526674	6.058358622537605E-7	5.51336579853507E-6	-0.5238256699002436	-0.38818240063890086
t.statistic.M18-M03	GOBP slim name	cellular nitrogen compound metabolic process	1549	-0.20573935396075782	2.8843944462051317E-33	1.64410483433693E-31	-0.5894942950435063	-0.39325599155769775
t.statistic.M18-M03	GOMF name	regulatory region DNA binding	238	-0.16095472523773463	2.5337473387283882E-5	0.00111002264363339	-0.4865932282667101	-0.4009957722581856
t.statistic.M18-M03	GOMF name	transcription regulatory region sequence-specific DNA binding	234	-0.1660587843575692	1.631046212275493E-5	7.76153025151786E-4	-0.5137049323204593	-0.4009957722581856
t.statistic.M18-M03	GOMF name	transcription regulatory region DNA binding	238	-0.16095472523773463	2.5337473387283882E-5	0.00111002264363339	-0.4865932282667101	-0.4009957722581856
t.statistic.M03-D14	GOBP slim name	cellular metabolic process	2930	-0.11061207597267335	1.818587485563148E-13	3.45531622256998E-12	-0.5051203488197451	-0.4021919661367592
t.statistic.M18-M03	GOMF name	regulatory region nucleic acid binding	242	-0.1651073433626957	1.3304731383556491E-5	6.80019604048443E-4	-0.5050255502709544	-0.41281352639106683
t.statistic.M18-M03	GOCC slim name	nucleus	2096	-0.2473865592431014	1.5575909216168841E-55	2.16505138104747E-53	-0.598414380120226	-0.41856485885027606
t.statistic.M18-M03	GOCC slim name	nucleoplasm	1547	-0.2191476924827655	1.7452701646871013E-37	6.06481382228768E-36	-0.5853998846996495	-0.4393940344441031
t.statistic.M18-M03	GOCC slim name	transcription factor complex	134	-0.1940586743250041	1.2027758103904441E-4	4.77673821840776E-4	-0.6657186664036522	-0.458977550962531
t.statistic.M03-D14	GOBP slim name	primary metabolic process	2790	-0.11651746751253096	9.71980107592171E-15	2.51831209694335E-13	-0.5260351519983947	-0.4722952484285242
t.statistic.M03-D14	GOCC slim name	mitochondrion	808	-0.07529237920850335	5.73571754121098E-4	0.00272941041616247	-0.5065429531235647	-0.4770180074770261
t.statistic.M03-D14	GOCC slim name	nucleoplasm	1578	-0.11556218400324873	1.0022444570462113E-11	2.76619470144754E-10	-0.7402582412064864	-0.49539743021921323
t.statistic.M18-M03	GOMF name	sequence-specific DNA binding	296	-0.20723244024653487	1.7871149498243664E-9	3.08277328844703E-7	-0.7617849003420331	-0.49633762868122877
t.statistic.M03-D14	GOCC slim name	nucleus	2149	-0.14036158258689818	2.50721247226291E-19	1.72997660586141E-17	-0.7726218255092623	-0.5029926454476212
t.statistic.M18-M03	GOBP slim name	regulation of cell cycle	358	-0.19677423306870528	4.1839616320334257E-10	2.90836357348665E-9	-0.685996606830906	-0.5074801754192146
t.statistic.M18-M03	GOBP slim name	regulation of mitotic cell cycle	189	-0.17193563001043943	5.6532432929591475E-5	1.91806468868257E-4	-0.6973725898837089	-0.5178893119288793
t.statistic.M18-M03	GOMF name	transcription coactivator activity	142	-0.19516501257899008	6.936296886043209E-5	0.00265891380631656	-0.5504990364267797	-0.5467337568455771
