sample,factor,value,group,timepoint_label,timepoint_num,replicate
M18_rep5,Factor4,0.19155234098434448,group1,M18,548,rep5
D14_rep1,Factor5,0.07731632888317108,group1,D14,14,rep1
D14_rep2,Factor5,-0.07581374794244766,group1,D14,14,rep2
D14_rep3,Factor5,-0.21853923797607422,group1,D14,14,rep3
D14_rep4,Factor5,0.41065293550491333,group1,D14,14,rep4
D14_rep5,Factor5,-0.1974709928035736,group1,D14,14,rep5
D21_rep1,Factor5,0.1423717737197876,group1,D21,21,rep1
D21_rep2,Factor5,-0.18302303552627563,group1,D21,21,rep2
D21_rep3,Factor5,-0.02448708564043045,group1,D21,21,rep3
D21_rep4,Factor5,-0.03219987824559212,group1,D21,21,rep4
D21_rep5,Factor5,-0.1107151135802269,group1,D21,21,rep5
M03_rep1,Factor5,0.13943740725517273,group1,M03,90,rep1
M03_rep2,Factor5,-0.16298522055149078,group1,M03,90,rep2
M03_rep3,Factor5,0.044106531888246536,group1,M03,90,rep3
M03_rep4,Factor5,0.37926045060157776,group1,M03,90,rep4
M03_rep5,Factor5,0.027760781347751617,group1,M03,90,rep5
M06_rep1,Factor5,0.13733647763729095,group1,M06,180,rep1
M06_rep2,Factor5,0.15041016042232513,group1,M06,180,rep2
M06_rep3,Factor5,-0.0026281855534762144,group1,M06,180,rep3
M06_rep4,Factor5,0.011325306259095669,group1,M06,180,rep4
M06_rep5,Factor5,0.16049213707447052,group1,M06,180,rep5
M12_rep1,Factor5,-0.04404960945248604,group1,M12,365,rep1
M12_rep2,Factor5,0.05877702310681343,group1,M12,365,rep2
M12_rep3,Factor5,0.0759749710559845,group1,M12,365,rep3
M12_rep4,Factor5,0.17564278841018677,group1,M12,365,rep4
M12_rep5,Factor5,-0.3299486041069031,group1,M12,365,rep5
M18_rep1,Factor5,-0.0235043503344059,group1,M18,548,rep1
M18_rep2,Factor5,-0.2583143711090088,group1,M18,548,rep2
M18_rep3,Factor5,-0.22885802388191223,group1,M18,548,rep3
M18_rep4,Factor5,2.021593099925667e-4,group1,M18,548,rep4
M18_rep5,Factor5,-0.21089626848697662,group1,M18,548,rep5
D14_rep1,Factor6,0.1652190238237381,group1,D14,14,rep1
D14_rep2,Factor6,0.15317177772521973,group1,D14,14,rep2
D14_rep3,Factor6,0.15667539834976196,group1,D14,14,rep3
D14_rep4,Factor6,-0.19599854946136475,group1,D14,14,rep4
D14_rep5,Factor6,-0.18225076794624329,group1,D14,14,rep5
D21_rep1,Factor6,0.18019644916057587,group1,D21,21,rep1
D21_rep2,Factor6,0.1506151556968689,group1,D21,21,rep2
D21_rep3,Factor6,-0.1737799495458603,group1,D21,21,rep3
D21_rep4,Factor6,-0.14974741637706757,group1,D21,21,rep4
D21_rep5,Factor6,-0.16233688592910767,group1,D21,21,rep5
M03_rep1,Factor6,0.19891312718391418,group1,M03,90,rep1
M03_rep2,Factor6,0.19739533960819244,group1,M03,90,rep2
M03_rep3,Factor6,0.15907034277915955,group1,M03,90,rep3
M03_rep4,Factor6,-0.19747386872768402,group1,M03,90,rep4
M03_rep5,Factor6,-0.16203048825263977,group1,M03,90,rep5
M06_rep1,Factor6,0.17607998847961426,group1,M06,180,rep1
M06_rep2,Factor6,0.09693047404289246,group1,M06,180,rep2
M06_rep3,Factor6,-0.17045161128044128,group1,M06,180,rep3
M06_rep4,Factor6,-0.15176376700401306,group1,M06,180,rep4
M06_rep5,Factor6,-0.19866041839122772,group1,M06,180,rep5
M12_rep1,Factor6,0.15450800955295563,group1,M12,365,rep1
M12_rep2,Factor6,0.20103438198566437,group1,M12,365,rep2
M12_rep3,Factor6,0.133278489112854,group1,M12,365,rep3
M12_rep4,Factor6,-0.15344321727752686,group1,M12,365,rep4
M12_rep5,Factor6,-0.2561826705932617,group1,M12,365,rep5
M18_rep1,Factor6,0.214650958776474,group1,M18,548,rep1
M18_rep2,Factor6,0.18867729604244232,group1,M18,548,rep2
M18_rep3,Factor6,-0.16114094853401184,group1,M18,548,rep3
M18_rep4,Factor6,-0.10874016582965851,group1,M18,548,rep4
M18_rep5,Factor6,-0.08994311094284058,group1,M18,548,rep5
D14_rep1,Factor7,-0.657539427280426,group1,D14,14,rep1
D14_rep2,Factor7,0.3433689773082733,group1,D14,14,rep2
D14_rep3,Factor7,-0.004872194956988096,group1,D14,14,rep3
D14_rep4,Factor7,0.09090887755155563,group1,D14,14,rep4
D14_rep5,Factor7,0.13833525776863098,group1,D14,14,rep5
D21_rep1,Factor7,0.1498269885778427,group1,D21,21,rep1
D21_rep2,Factor7,-0.003120248904451728,group1,D21,21,rep2
D21_rep3,Factor7,0.2264985591173172,group1,D21,21,rep3
D21_rep4,Factor7,0.4692533016204834,group1,D21,21,rep4
D21_rep5,Factor7,-0.35743921995162964,group1,D21,21,rep5
M03_rep1,Factor7,-0.022368798032402992,group1,M03,90,rep1
M03_rep2,Factor7,-0.01607895828783512,group1,M03,90,rep2
M03_rep3,Factor7,-0.025570876896381378,group1,M03,90,rep3
M03_rep4,Factor7,0.21885551512241364,group1,M03,90,rep4
M03_rep5,Factor7,0.03371791914105415,group1,M03,90,rep5
M06_rep1,Factor7,-0.1504850685596466,group1,M06,180,rep1
M06_rep2,Factor7,-0.337587833404541,group1,M06,180,rep2
M06_rep3,Factor7,-0.07328501343727112,group1,M06,180,rep3
M06_rep4,Factor7,-0.13816535472869873,group1,M06,180,rep4
M06_rep5,Factor7,-0.18874241411685944,group1,M06,180,rep5
M12_rep1,Factor7,-0.4195365905761719,group1,M12,365,rep1
M12_rep2,Factor7,0.06492475420236588,group1,M12,365,rep2
M12_rep3,Factor7,0.14201237261295319,group1,M12,365,rep3
M12_rep4,Factor7,-0.18438421189785004,group1,M12,365,rep4
M12_rep5,Factor7,0.4890652000904083,group1,M12,365,rep5
M18_rep1,Factor7,1.0618947744369507,group1,M18,548,rep1
M18_rep2,Factor7,0.28552156686782837,group1,M18,548,rep2
M18_rep3,Factor7,-0.14159506559371948,group1,M18,548,rep3
M18_rep4,Factor7,-0.2714838981628418,group1,M18,548,rep4
M18_rep5,Factor7,-0.7240633368492126,group1,M18,548,rep5
D14_rep1,Factor8,-0.27633044123649597,group1,D14,14,rep1
D14_rep2,Factor8,0.1276044249534607,group1,D14,14,rep2
D14_rep3,Factor8,-0.14597086608409882,group1,D14,14,rep3
D14_rep4,Factor8,0.541221022605896,group1,D14,14,rep4
D14_rep5,Factor8,0.5390061140060425,group1,D14,14,rep5
D21_rep1,Factor8,-0.06846697628498077,group1,D21,21,rep1
D21_rep2,Factor8,-0.16227464377880096,group1,D21,21,rep2
D21_rep3,Factor8,-0.3081960380077362,group1,D21,21,rep3
D21_rep4,Factor8,-0.18666885793209076,group1,D21,21,rep4
D21_rep5,Factor8,-0.021974600851535797,group1,D21,21,rep5
M03_rep1,Factor8,-0.0635843500494957,group1,M03,90,rep1
M03_rep2,Factor8,0.1409604549407959,group1,M03,90,rep2
M03_rep3,Factor8,0.024798916652798653,group1,M03,90,rep3
M03_rep4,Factor8,-0.07418708503246307,group1,M03,90,rep4
M03_rep5,Factor8,0.2321048080921173,group1,M03,90,rep5
M06_rep1,Factor8,0.18911364674568176,group1,M06,180,rep1
M06_rep2,Factor8,0.1270434856414795,group1,M06,180,rep2
M06_rep3,Factor8,-0.20747940242290497,group1,M06,180,rep3
M06_rep4,Factor8,-0.1523951143026352,group1,M06,180,rep4
M06_rep5,Factor8,-0.0414423830807209,group1,M06,180,rep5
M12_rep1,Factor8,0.14805585145950317,group1,M12,365,rep1
M12_rep2,Factor8,-0.3249675929546356,group1,M12,365,rep2
M12_rep3,Factor8,-0.1404166966676712,group1,M12,365,rep3
M12_rep4,Factor8,-0.26901811361312866,group1,M12,365,rep4
M12_rep5,Factor8,-0.32772496342658997,group1,M12,365,rep5
M18_rep1,Factor8,0.02259656973183155,group1,M18,548,rep1
M18_rep2,Factor8,0.10720045119524002,group1,M18,548,rep2
M18_rep3,Factor8,0.9021704792976379,group1,M18,548,rep3
M18_rep4,Factor8,-0.07717762142419815,group1,M18,548,rep4
M18_rep5,Factor8,-0.1583985537290573,group1,M18,548,rep5
D14_rep1,Factor9,-0.07722721248865128,group1,D14,14,rep1
D14_rep2,Factor9,0.019273735582828522,group1,D14,14,rep2
D14_rep3,Factor9,-0.11085554957389832,group1,D14,14,rep3
D14_rep4,Factor9,-0.6187511086463928,group1,D14,14,rep4
D14_rep5,Factor9,1.0661616325378418,group1,D14,14,rep5
D21_rep1,Factor9,-0.3315286934375763,group1,D21,21,rep1
D21_rep2,Factor9,-0.2966969907283783,group1,D21,21,rep2
D21_rep3,Factor9,0.07944383472204208,group1,D21,21,rep3
D21_rep4,Factor9,-0.24642162024974823,group1,D21,21,rep4
D21_rep5,Factor9,0.09251171350479126,group1,D21,21,rep5
M03_rep1,Factor9,0.2771701216697693,group1,M03,90,rep1
M03_rep2,Factor9,0.08828277140855789,group1,M03,90,rep2
M03_rep3,Factor9,0.19989721477031708,group1,M03,90,rep3
M03_rep4,Factor9,-0.0076177385635674,group1,M03,90,rep4
M03_rep5,Factor9,0.04821907356381416,group1,M03,90,rep5
M06_rep1,Factor9,0.0732492059469223,group1,M06,180,rep1
M06_rep2,Factor9,0.10480868071317673,group1,M06,180,rep2
M06_rep3,Factor9,0.1816490888595581,group1,M06,180,rep3
M06_rep4,Factor9,0.165930837392807,group1,M06,180,rep4
M06_rep5,Factor9,0.1282903403043747,group1,M06,180,rep5
M12_rep1,Factor9,0.04900467395782471,group1,M12,365,rep1
M12_rep2,Factor9,-0.09881351888179779,group1,M12,365,rep2
M12_rep3,Factor9,-0.05613397806882858,group1,M12,365,rep3
M12_rep4,Factor9,0.4248090088367462,group1,M12,365,rep4
M12_rep5,Factor9,-0.3820365071296692,group1,M12,365,rep5
M18_rep1,Factor9,-0.06687948107719421,group1,M18,548,rep1
M18_rep2,Factor9,-0.1879587322473526,group1,M18,548,rep2
M18_rep3,Factor9,-0.5526643991470337,group1,M18,548,rep3
M18_rep4,Factor9,0.15418469905853271,group1,M18,548,rep4
M18_rep5,Factor9,-0.1313997209072113,group1,M18,548,rep5
D14_rep1,Factor10,0.18170973658561707,group1,D14,14,rep1
D14_rep2,Factor10,-0.2329740673303604,group1,D14,14,rep2
D14_rep3,Factor10,-0.01816161908209324,group1,D14,14,rep3
D14_rep4,Factor10,-0.3397834300994873,group1,D14,14,rep4
D14_rep5,Factor10,-0.1401439756155014,group1,D14,14,rep5
D21_rep1,Factor10,0.0815419927239418,group1,D21,21,rep1
D21_rep2,Factor10,0.180681049823761,group1,D21,21,rep2
D21_rep3,Factor10,0.2396439015865326,group1,D21,21,rep3
D21_rep4,Factor10,0.07526837289333344,group1,D21,21,rep4
D21_rep5,Factor10,0.44444799423217773,group1,D21,21,rep5
M03_rep1,Factor10,-0.059250425547361374,group1,M03,90,rep1
M03_rep2,Factor10,-0.34584519267082214,group1,M03,90,rep2
M03_rep3,Factor10,-0.10167790949344635,group1,M03,90,rep3
M03_rep4,Factor10,-0.23156854510307312,group1,M03,90,rep4
M03_rep5,Factor10,-0.11572495102882385,group1,M03,90,rep5
M06_rep1,Factor10,-0.16592669486999512,group1,M06,180,rep1
M06_rep2,Factor10,-0.1886403113603592,group1,M06,180,rep2
M06_rep3,Factor10,-0.2660558223724365,group1,M06,180,rep3
M06_rep4,Factor10,-0.2251061499118805,group1,M06,180,rep4
M06_rep5,Factor10,-0.0699373334646225,group1,M06,180,rep5
M12_rep1,Factor10,0.22761979699134827,group1,M12,365,rep1
M12_rep2,Factor10,-0.039338238537311554,group1,M12,365,rep2
M12_rep3,Factor10,0.07727887481451035,group1,M12,365,rep3
M12_rep4,Factor10,0.14473643898963928,group1,M12,365,rep4
M12_rep5,Factor10,-0.1345052719116211,group1,M12,365,rep5
M18_rep1,Factor10,0.25919389724731445,group1,M18,548,rep1
M18_rep2,Factor10,0.38469260931015015,group1,M18,548,rep2
M18_rep3,Factor10,0.4801517426967621,group1,M18,548,rep3
M18_rep4,Factor10,0.1379922330379486,group1,M18,548,rep4
M18_rep5,Factor10,-0.24978284537792206,group1,M18,548,rep5
