"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Nck2",0.633268933045301,0.676270634557823,0.72365433024502,FALSE,"Cellular"
"Wrnip1",0.632811854429487,0.676599930168806,0.72386581359566,FALSE,"Cellular"
"Nfkb2",0.632564785486347,0.676777946106841,0.723915398384322,FALSE,"Cellular"
"Agap1",0.632326577134315,0.676949590292026,0.723958149664571,FALSE,"Cellular"
"Borcs6",0.631526883959051,0.677525908451335,0.724433575391956,FALSE,"Cellular"
"Tdp1",0.6287881210896,0.67950068489214,0.726403804304294,FALSE,"Cellular"
"Noc2l",0.627848951520522,0.680178228144871,0.726986760952664,FALSE,"Cellular"
"Frmd8",0.626160735221063,0.681396605141612,0.728147431500211,FALSE,"Cellular"
"Fau",0.625645397671453,0.681768635519091,0.728403411986778,FALSE,"Cellular"
"Rbm15",0.624432215719114,0.682644658447243,0.729197655360976,FALSE,"Cellular"
"Iqsec1",0.623788079501404,0.68310989814637,0.729552878789577,FALSE,"Cellular"
"Rfxap",0.62345637595899,0.683349508829913,0.729667042056101,FALSE,"Cellular"
"Tbc1d8b",0.622313483955169,0.68417525519121,0.73040690350316,FALSE,"Cellular"
"Polr2a",0.621812586687942,0.68453723516646,0.730651469412774,FALSE,"Cellular"
"Stx18",0.621458695172506,0.684793008174361,0.730782600726443,FALSE,"Cellular"
"Nfic",0.621010707027807,0.685116822821387,0.730986278259652,FALSE,"Cellular"
"Cenpp",0.620245196329555,0.685670235980546,0.73143479965484,FALSE,"Cellular"
"Washc4",0.619694511872253,0.686068411438944,0.731717580231099,FALSE,"Cellular"
"Cfap20",0.618636278036654,0.686833729848062,0.732391746839535,FALSE,"Cellular"
"Naa15",0.618284791033566,0.687087971644534,0.73249574647123,FALSE,"Cellular"
"Loxl2",0.617948906280207,0.68733094871682,0.73249574647123,FALSE,"Cellular"
"Morc2a",0.618099669552733,0.6872218849262,0.73249574647123,FALSE,"Cellular"
"Cdk5",0.617012676927347,0.688008318508124,0.732973097015435,FALSE,"Cellular"
"Wdr35",0.616961293973414,0.688045499035405,0.732973097015435,FALSE,"Cellular"
"Tbrg4",0.616355194527197,0.688484105799043,0.733298259140476,FALSE,"Cellular"
"Vps52",0.613433662357944,0.690599184492835,0.735408544710751,FALSE,"Cellular"
"Mndal",0.60952340983924,0.693432304669564,0.738139556838967,FALSE,"Cellular"
"Rrp12",0.609639441418596,0.693348199798931,0.738139556838967,FALSE,"Cellular"
"Maea",0.609037965938941,0.693784199272647,0.738371182268876,FALSE,"Cellular"
"Foxp1",0.607690945445588,0.694760838178345,0.739267483705156,FALSE,"Cellular"
"Ppfibp2",0.607295301211738,0.695047748180865,0.739286616269761,FALSE,"Cellular"
"Pcf11",0.607414609671643,0.694961226525138,0.739286616269761,FALSE,"Cellular"
"IntS13",0.606844616534713,0.695374601211043,0.7394912103401,FALSE,"Cellular"
"Cnot8",0.605575458476714,0.6962952065534,0.740327024875381,FALSE,"Cellular"
"Ptp4a2",0.604948521457209,0.696750054871053,0.740649240692326,FALSE,"Cellular"
"Ncor1",0.604786402331535,0.696867683175956,0.740649240692326,FALSE,"Cellular"
"Rbbp6",0.602410620254054,0.698591909895715,0.742338291574534,FALSE,"Cellular"
"Dgke",0.597920475268165,0.70185278015702,0.745659243536869,FALSE,"Cellular"
"Mkln1",0.59697114809427,0.702542549479101,0.746247862642213,FALSE,"Cellular"
"Ctnna2",0.59664708271236,0.702778037560586,0.746287460344927,FALSE,"Cellular"
"Eif5b",0.596546261220001,0.702851304049843,0.746287460344927,FALSE,"Cellular"
"D1Pas1",0.593819305437852,0.704833443640623,0.748247590873942,FALSE,"Cellular"
"Stx6",0.592421958613681,0.705849475051382,0.748941555187285,FALSE,"Cellular"
"Ppp2ca",0.592358247700405,0.705895805562116,0.748941555187285,FALSE,"Cellular"
"Akap8",0.592688030799091,0.70565599264767,0.748941555187285,FALSE,"Cellular"
"Arhgef2",0.591693068996491,0.706379550331492,0.749310200216581,FALSE,"Cellular"
"Mocs2",0.591384494206004,0.706603975259017,0.749403675920925,FALSE,"Cellular"
"Pdzk1",0.59011198536551,0.707529575777296,0.750240618635212,FALSE,"Cellular"
"Thoc6",0.588363353015188,0.708801783797978,0.751444698673599,FALSE,"Cellular"
"Banf1",0.587365391755001,0.70952798721659,0.752069572723503,FALSE,"Cellular"
"Hikeshi",0.587030330016043,0.709771829799879,0.752183022405501,FALSE,"Cellular"
"Psmd5",0.584962034170246,0.711277283496153,0.753633167211765,FALSE,"Cellular"
"Akt2",0.583743402705353,0.712164479479631,0.754220452700941,FALSE,"Cellular"
"Hpse",0.583635413724885,0.712243104842358,0.754220452700941,FALSE,"Cellular"
"Spag7",0.583657951143319,0.712226695556561,0.754220452700941,FALSE,"Cellular"
"Sdc4",0.581156995896278,0.714047888840409,0.755985999007235,FALSE,"Cellular"
"Ap2s1",0.580396498809834,0.714601786705052,0.756321107172288,FALSE,"Cellular"
"Trim32",0.580344675980338,0.714639532877416,0.756321107172288,FALSE,"Cellular"
"Fbxo3",0.579151255299741,0.71550884308933,0.75709538477774,FALSE,"Cellular"
"Lyrm7",0.578668829622336,0.715860282454562,0.757321499506481,FALSE,"Cellular"
"Rbm28",0.57813472776311,0.716249387579147,0.757587366854588,FALSE,"Cellular"
"Mbnl1",0.57396322615381,0.719289111111189,0.7606561902076,FALSE,"Cellular"
"Rbm33",0.571977502507331,0.720736475094888,0.762040219244557,FALSE,"Cellular"
"Bche",0.568754079413291,0.723086438626692,0.764377858021448,FALSE,"Cellular"
"Fhl1",0.567024037640681,0.724347891034331,0.765417010360706,FALSE,"Cellular"
"Trip12",0.567050271671963,0.724328761647941,0.765417010360706,FALSE,"Cellular"
"Cebpz",0.566353226286934,0.724837044119617,0.765786715712847,FALSE,"Cellular"
"Cops6",0.565557637822572,0.725417206880796,0.766252411802232,FALSE,"Cellular"
"Micu2",0.564646970553099,0.726081316283344,0.766806584119444,FALSE,"Cellular"
"Csnk1a1",0.563654389908573,0.726805193341428,0.767423651429071,FALSE,"Cellular"
"Fam241b",0.562707498713039,0.727495777922865,0.768005335449291,FALSE,"Cellular"
"Yrdc",0.562289538211048,0.727800612043201,0.768179643888178,FALSE,"Cellular"
"Lipt1",0.561923376045264,0.72806767153201,0.76828837113083,FALSE,"Cellular"
