"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Nkrf",15.5646329728127,7.38093657026817e-07,3.25938598465905e-06,TRUE,"Insoluble"
"H1.2",15.5676045939225,7.36847236711524e-07,3.25938598465905e-06,TRUE,"Insoluble"
"Ttc7b",15.5628259180739,7.38852725902496e-07,3.25938598465905e-06,TRUE,"Insoluble"
"Atp1a1",15.5666322141013,7.37254841913634e-07,3.25938598465905e-06,TRUE,"Insoluble"
"Dhrsx",15.5613804295086,7.3946052406376e-07,3.26012898903927e-06,TRUE,"Insoluble"
"Mdk",15.5387390564131,7.49051716769697e-07,3.29899799529291e-06,TRUE,"Insoluble"
"Mtor",15.5384712008127,7.49165986801692e-07,3.29899799529291e-06,TRUE,"Insoluble"
"Pi4ka",15.5364151654607,7.5004374174615e-07,3.30090424896586e-06,TRUE,"Insoluble"
"Pole4",15.5230533462437,7.55775313497038e-07,3.32415698052639e-06,TRUE,"Insoluble"
"Hmgb3",15.5184966247623,7.57740751418558e-07,3.33082723668584e-06,TRUE,"Insoluble"
"Ncln",15.5144433585584,7.59493684983056e-07,3.33655603467986e-06,TRUE,"Insoluble"
"Aimp1",15.5042972817775,7.63900876934698e-07,3.35393166086122e-06,TRUE,"Insoluble"
"Hspa2",15.5025262644073,7.6467299443833e-07,3.35533626181692e-06,TRUE,"Insoluble"
"Lrba",15.4954750434507,7.67755530472152e-07,3.36687117973012e-06,TRUE,"Insoluble"
"Dnpep",15.4936131684995,7.68571716864815e-07,3.36845962146304e-06,TRUE,"Insoluble"
"Sfr1",15.4862221737567,7.71820968096124e-07,3.37671673542054e-06,TRUE,"Insoluble"
"Cox6c",15.487211721774,7.71385079286908e-07,3.37671673542054e-06,TRUE,"Insoluble"
"Sccpdh",15.4874280840861,7.71289808741142e-07,3.37671673542054e-06,TRUE,"Insoluble"
"Csrp1",15.4710121670579,7.78554515853947e-07,3.40416883184224e-06,TRUE,"Insoluble"
"Sufu",15.4639487262756,7.81703133631235e-07,3.41592299855345e-06,TRUE,"Insoluble"
"Chp1",15.4627032361396,7.82259754556401e-07,3.41634336598499e-06,TRUE,"Insoluble"
"Zyx",15.4522483243896,7.86949100208977e-07,3.43480136679447e-06,TRUE,"Insoluble"
"Ctdspl2",15.4223802580769,8.00514267004911e-07,3.49195523878685e-06,TRUE,"Insoluble"
"Snrpf",15.4191458102177,8.01998373823818e-07,3.49637363911441e-06,TRUE,"Insoluble"
"Pitpna",15.4081731790716,8.07055328601607e-07,3.51635380987899e-06,TRUE,"Insoluble"
"Znf593",15.4031065999772,8.09401999923094e-07,3.52450870858531e-06,TRUE,"Insoluble"
"Ppp1r12a",15.3938440451285,8.13711222729107e-07,3.53910696366483e-06,TRUE,"Insoluble"
"Sap18",15.3918067594116,8.1466235767379e-07,3.53910696366483e-06,TRUE,"Insoluble"
"Pygm",15.3947828751757,8.13273321581716e-07,3.53910696366483e-06,TRUE,"Insoluble"
"Rab3gap2",15.3923421526132,8.1441228546441e-07,3.53910696366483e-06,TRUE,"Insoluble"
"H2ax",15.3802829781932,8.2006509750937e-07,3.56049328468082e-06,TRUE,"Insoluble"
"Kyat3",15.3789309681462,8.20701503188878e-07,3.5611726044804e-06,TRUE,"Insoluble"
"Tgfbi",15.3645645128279,8.27497064689772e-07,3.58856120397318e-06,TRUE,"Insoluble"
"Snrpa",15.3502506936309,8.34328336508528e-07,3.61185312537531e-06,TRUE,"Insoluble"
"Rpl37a",15.351074439886,8.33933552719139e-07,3.61185312537531e-06,TRUE,"Insoluble"
"Prkcb",15.3503189406606,8.34295621154238e-07,3.61185312537531e-06,TRUE,"Insoluble"
"Bax",15.3275160337869,8.45304241176666e-07,3.65723467611129e-06,TRUE,"Insoluble"
"Erlin2",15.3206545934875,8.48647452066084e-07,3.6695594955305e-06,TRUE,"Insoluble"
"Rbm17",15.3180683945745,8.49911279037574e-07,3.67288391989446e-06,TRUE,"Insoluble"
"Scarb2",15.3128570485278,8.52464158828784e-07,3.68177186176343e-06,TRUE,"Insoluble"
"Abca9",15.3063608251623,8.55658088202556e-07,3.69341652964687e-06,TRUE,"Insoluble"
"Ccdc127",15.30531257868,8.56174680950992e-07,3.69349775154439e-06,TRUE,"Insoluble"
"Ncapd2",15.2970972078625,8.60235057169811e-07,3.7088577130738e-06,TRUE,"Insoluble"
"Tm7sf2",15.2938766680464,8.61832463592454e-07,3.71358703824391e-06,TRUE,"Insoluble"
"Erlec1",15.2849148532372,8.6629449719252e-07,3.73064722528642e-06,TRUE,"Insoluble"
"Timm29",15.2747994489682,8.71360955180582e-07,3.75028902983754e-06,TRUE,"Insoluble"
"Gpaa1",15.2726106926726,8.72461442866403e-07,3.75284864119925e-06,TRUE,"Insoluble"
"Ppil3",15.2657079804765,8.75941930960344e-07,3.7656368063301e-06,TRUE,"Insoluble"
"Tead1",15.259766244273,8.78949911918858e-07,3.77419464492936e-06,TRUE,"Insoluble"
"Frmd5",15.2598357021494,8.78914684625432e-07,3.77419464492936e-06,TRUE,"Insoluble"
"Pgs1",15.2553969989404,8.81168958143116e-07,3.77934894186238e-06,TRUE,"Insoluble"
"Tbxas1",15.2555840717231,8.81073823730101e-07,3.77934894186238e-06,TRUE,"Insoluble"
"Aebp1",15.2481464382839,8.84864754160942e-07,3.79300778502264e-06,TRUE,"Insoluble"
"Kct2",15.2452437071896,8.8634905019011e-07,3.79717664688835e-06,TRUE,"Insoluble"
"Ltbp4",15.2431093260207,8.87442173755782e-07,3.79966585647311e-06,TRUE,"Insoluble"
"Gmps",15.2381364240419,8.89994710458016e-07,3.80839720392069e-06,TRUE,"Insoluble"
"Lias",15.2259364875869,8.96290528079302e-07,3.83312721518641e-06,TRUE,"Insoluble"
"Far1",15.224606581645,8.96979738715117e-07,3.8338650122501e-06,TRUE,"Insoluble"
"H1.5",15.2184004658208,9.00203589875635e-07,3.84542926705654e-06,TRUE,"Insoluble"
"Abt1",15.2158156176314,9.01550021814627e-07,3.84675167444769e-06,TRUE,"Insoluble"
"Abcd3",15.2158672310251,9.01523115390367e-07,3.84675167444769e-06,TRUE,"Insoluble"
"Cct8",15.2048922819612,9.072640378488e-07,3.86890756370005e-06,TRUE,"Insoluble"
"Pdcl3",15.2021485070778,9.08705462518539e-07,3.87179981005053e-06,TRUE,"Insoluble"
"Safb2",15.2006234915481,9.09507691228851e-07,3.87179981005053e-06,TRUE,"Insoluble"
"Lars2",15.2015633048999,9.09013215341625e-07,3.87179981005053e-06,TRUE,"Insoluble"
"Zc2hc1a",15.1915932517894,9.14273750620093e-07,3.88985735642264e-06,TRUE,"Insoluble"
"Atp6v0d1",15.1632558479908,9.29406263417731e-07,3.95197391092239e-06,TRUE,"Insoluble"
"Pkn2",15.1591180423255,9.31638489790467e-07,3.959196789373e-06,TRUE,"Insoluble"
"Gkap1",15.1522275387789,9.35368604494149e-07,3.96876178586658e-06,TRUE,"Insoluble"
"Zbed3",15.1535891145687,9.34630247687377e-07,3.96876178586658e-06,TRUE,"Insoluble"
"Elob",15.1519966945643,9.35493849525694e-07,3.96876178586658e-06,TRUE,"Insoluble"
"Txnrd2",15.1442102301499,9.39729062422576e-07,3.98445122467172e-06,TRUE,"Insoluble"
"Gabpa",15.1377189490539,9.43275662023133e-07,3.99720469001236e-06,TRUE,"Insoluble"
"Ech1",15.1365843057614,9.43897075888744e-07,3.99755496751968e-06,TRUE,"Insoluble"
"Chmp2b",15.1320339808891,9.46393622519194e-07,4.00355796983604e-06,TRUE,"Insoluble"
"Mtnd4",15.1320602748126,9.46379175782601e-07,4.00355796983604e-06,TRUE,"Insoluble"
"Ppan",15.1293300136883,9.47880545152449e-07,4.00756333050209e-06,TRUE,"Insoluble"
"Tra2b",15.1280155091559,9.48604309778277e-07,4.00833939553236e-06,TRUE,"Insoluble"
"Col11a1",15.1254757130166,9.50004413345638e-07,4.01197082926843e-06,TRUE,"Insoluble"
"Tpd52l2",15.1200868444919,9.52982526902599e-07,4.02225844688128e-06,TRUE,"Insoluble"
