Column	Type	Name	Size	Score	P-value	Adj. p-value	Mean	Median
t.statistic.M03-D14	GOBP slim name	peptide transport	20	0.3653897624623621	0.004723065515492956	0.0150713551280899	1.5873605989035988	0.7096449230514666
t.statistic.M03-D14	GOBP slim name	nucleotide metabolic process	241	0.12900261417275152	6.787465632397853E-4	0.00260491924270404	0.42904689232534304	0.7044865065711551
t.statistic.M18-M03	GOBP slim name	mitochondrial translation	71	0.3332515097699839	1.3462389485609827E-6	5.79290699077756E-6	0.8781876332032057	0.6949124232767421
t.statistic.M03-D14	GOMF name	magnesium ion binding	124	0.25717761156325847	9.186359048882723E-7	4.63988982468992E-5	0.9853911259571089	0.6777891076545688
t.statistic.M03-D14	GOMF name	ubiquitin binding	77	0.22513089005235606	6.753984771239696E-4	0.0136917514410165	0.5255314381548307	0.6676622803699702
t.statistic.M03-D14	GOBP slim name	catabolic process	872	0.24099795251407657	4.471511145258E-30	3.17477291313318E-28	0.7932107083642196	0.6644155760172055
t.statistic.M03-D14	GOBP slim name	carbohydrate metabolic process	305	0.21771632116519285	1.4033166445791705E-10	1.07714034340671E-9	0.9266147817900394	0.6404482655426752
t.statistic.M18-M03	GOBP slim name	protein transport	587	0.19866275669997663	2.911599432158155E-15	3.06257125456636E-14	0.3498197332206907	0.630339043262905
t.statistic.M03-D14	GOMF name	hydrolase activity, acting on ester bonds	317	0.25011869217053684	6.095489224745088E-14	1.51371315747836E-11	0.8956951370917328	0.6207235454987848
t.statistic.M18-M03	GOCC slim name	mitochondrion	1009	0.2653681434855776	5.00040009315297E-40	1.43011442664175E-38	0.6046539518061771	0.6136995039266788
t.statistic.M18-M03	GOMF name	iron ion binding	98	0.20916543887033007	3.7779114452520283E-4	0.00683479466955047	0.5086922946835645	0.6117833962212008
t.statistic.M03-D14	GOMF name	phosphatase activity	120	0.22354258818192138	2.6877226827306267E-5	8.8015534005904E-4	0.6355863795797368	0.597840329850539
t.statistic.M03-D14	GOBP slim name	regulation of body fluid levels	71	0.20372038201878714	0.003123600329799969	0.0105607439721808	1.0721784109291512	0.579109063949246
t.statistic.M03-D14	GOMF name	phosphoric ester hydrolase activity	153	0.20309073729292115	1.7480147580603783E-5	6.05707439420922E-4	0.5535183698453545	0.5614519626932887
t.statistic.M18-M03	GOBP slim name	cellular localization	336	0.17572188449848028	6.252968519723334E-8	3.06179837862315E-7	0.2883850043517286	0.5608678848460042
t.statistic.M18-M03	GOMF name	flavin adenine dinucleotide binding	61	0.32133533946620185	1.537702693594532E-5	4.70346792978864E-4	1.096048217813448	0.5568317308248764
t.statistic.M18-M03	GOCC slim name	nucleosome	35	0.28354833009365604	0.0037758175562243785	0.0112487898029185	1.0611332870407892	0.5553199639270039
t.statistic.M18-M03	GOCC slim name	plasma membrane	1037	0.19910446815476093	9.923574009538033E-24	1.77383885420492E-22	0.30095303933986006	0.5484515890459076
t.statistic.M03-D14	GOBP slim name	response to oxidative stress	196	0.14859232214085208	3.9482854604689483E-4	0.00157931418418758	0.5185234829740204	0.5374116588787372
t.statistic.M03-D14	GOMF name	cytoskeletal protein binding	445	0.1608544424817439	1.562545187442681E-8	1.455120205806E-6	0.38956897415150904	0.5010270543028824
t.statistic.M03-D14	GOMF name	phosphoprotein phosphatase activity	76	0.22964325707886735	5.706126619004064E-4	0.0117270740169877	0.6719809756920536	0.4935071402331686
t.statistic.M18-M03	GOMF name	pyrophosphatase activity	429	0.16708792948109186	8.238481058518912E-9	5.555357568324E-7	0.277423548178175	0.48999639784849053
t.statistic.M03-D14	GOBP slim name	polysaccharide metabolic process	62	0.2078134510042605	0.00481320659965459	0.0151883408255767	0.9367842832027227	0.48454817449948895
t.statistic.M18-M03	GOMF name	hydrolase activity, acting on acid anhydrides	431	0.16249190491956064	1.9435392206782174E-8	1.1089386284139E-6	0.26017013594734306	0.4840781906183523
t.statistic.M18-M03	GOMF name	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	431	0.16249190491956064	1.9435392206782174E-8	1.1089386284139E-6	0.26017013594734306	0.4840781906183523
t.statistic.M18-M03	GOMF name	structural molecule activity	274	0.20783122794731598	6.136714301862441E-9	4.23433286828508E-7	0.3640516779937129	0.4767389026425318
t.statistic.M03-D14	GOCC slim name	vacuole	190	0.21095222560533566	7.211094519011309E-7	4.12474606487447E-6	0.9063889149427258	0.4683865186250872
t.statistic.M03-D14	GOMF name	lipid binding	316	0.19511314878430217	5.0178256609289846E-9	5.34040016770299E-7	0.6617764963977804	0.4584693364491246
t.statistic.M18-M03	GOMF name	structural constituent of ribosome	128	0.2056486929572404	6.777279579088653E-5	0.00171650104107111	0.30184246602740106	0.44473733754789796
t.statistic.M18-M03	GOBP slim name	membrane invagination	198	0.1833454633672975	1.134805142301036E-5	4.29712880551326E-5	0.3193719935543367	0.4433926419227571
t.statistic.M18-M03	GOBP slim name	localization	424	0.1620010024703734	2.7286021071252425E-8	1.40895090622467E-7	0.2047761410611414	0.4363242603933969
t.statistic.M18-M03	GOBP slim name	locomotion	356	0.13563553239230275	1.7753019363905313E-5	6.30232187418639E-5	0.11993317131891783	0.42084683399229816
t.statistic.M18-M03	GOBP slim name	cell motility	297	0.12850448777815837	1.883841142226164E-4	5.29713746923001E-4	0.09871385487764156	0.41649604551441116
t.statistic.M18-M03	GOMF name	oxidoreductase activity	377	0.19037829214036955	6.156928176729875E-10	5.01580831543877E-8	0.4730393059109103	0.4138190161013039
t.statistic.M18-M03	GOBP slim name	endocytosis	180	0.1787752387861202	4.3546347743503026E-5	1.37412919546165E-4	0.30706274080596174	0.4103678202799892
t.statistic.M03-D14	GOBP slim name	protein folding	126	0.16593140435102294	0.001414165003293504	0.00524971392989351	0.5595976601680608	0.4073009349966632
t.statistic.M03-D14	GOMF name	protein serine/threonine kinase activity	141	0.1962360611113331	6.665320920523258E-5	0.00194731924932934	0.45166490149684896	0.40417795020618386
t.statistic.M03-D14	GOMF name	phospholipid binding	195	0.1618853201482876	1.1764187830912772E-4	0.00327638128374954	0.3634991488740911	0.3937594868782556
t.statistic.M03-D14	GOCC slim name	extracellular region	219	0.14547159807869933	2.524913935526275E-4	0.0011283209149383	0.7545334327987258	0.3840409853194717
t.statistic.M18-M03	GOMF name	calcium ion binding	209	0.19770753643036904	1.183035373492933E-6	4.61850783309675E-5	0.431929366045307	0.3606847191914048
t.statistic.M03-D14	GOBP slim name	proteolysis	385	0.12289513443976288	5.344610048684489E-5	2.48831025217442E-4	0.3600020893700817	0.36066809329735994
t.statistic.M03-D14	GOMF name	protein homodimerization activity	334	0.1387489850806861	1.9756840755443135E-5	6.76728568404834E-4	0.42708963909701037	0.34984447500217614
t.statistic.M18-M03	GOBP slim name	homeostatic process	537	0.1555474668951712	2.832209492156858E-9	1.64152550157663E-8	0.19660595801906114	0.3444810044128387
t.statistic.M18-M03	GOBP slim name	cell activation	189	0.14884304312097227	4.928889844260549E-4	0.00133314734835238	0.21842639970317562	0.3429556049315812
t.statistic.M03-D14	GOMF name	catalytic activity	2297	0.2495699135074742	1.5478731321149697E-59	4.61266193370261E-56	0.5571844850803758	0.34135843990145476
