"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000000617",6,4,6,3,1,2,0,1
"ENSMUSG00000000627",30.002,22,47.001,15.009,37.001,11,35.003,159.003
"ENSMUSG00000000628",2852.072,4621,2747,4230,4150.613,2968.955,6353.216,2479.968
"ENSMUSG00000000631",3398.243,3825.353,3750.86,4445.591,2332.051,3983.002,3837.064,4883.759
"ENSMUSG00000000632",36,28,31,128,18,40.999,22,156.091
"ENSMUSG00000000673",21,18,15,21,49.998,70,45,25.997
"ENSMUSG00000000682",103,157.999,221,230,434.075,391,600,412
"ENSMUSG00000000686",48.112,45,26.94,52.019,24.018,19,46.063,37.005
"ENSMUSG00000000690",134.586,114.701,124.845,209.238,124.008,179.003,148.747,137.877
"ENSMUSG00000000693",644,578.113,1189.976,1385.835,817.679,839.601,773.061,2646.404
"ENSMUSG00000000701",23,12,39,58,6,15,8,31.945
"ENSMUSG00000000706",6,2,5,5,0,1,1,5
"ENSMUSG00000000708",2438.092,4082.115,3319.885,2584.999,4311,3612.926,2685.009,3053.001
"ENSMUSG00000000711",3594.837,6315.814,5117.633,4709.769,5307,5445.105,4785.465,4166.597
"ENSMUSG00000000724",0,1,4.115,0,5,0,1,0
"ENSMUSG00000000730",179,82,194,312,52.001,51,81.001,188.333
"ENSMUSG00000000731",62.039,77,56,141.006,16,126.009,140.003,83.045
"ENSMUSG00000000732",1010,729,920.001,1546.001,952.001,1369,2370.514,1743.999
"ENSMUSG00000000738",2424.2,4855.011,2434,2529.927,3931.996,2395.947,2109.958,2486.944
"ENSMUSG00000000739",201.682,187.597,136.886,323.113,382.671,249.809,308.686,313.998
"ENSMUSG00000000740",37775.236,26593.521,42097.295,38789.8,26427.249,39674.43,33111.396,45831.509
"ENSMUSG00000000743",2678,3216.991,3511.667,2849.999,3228.693,3210.012,2339,3879.879
"ENSMUSG00000000751",2888.111,1967.526,2724,3261.999,1421,2419,2229,2639
"ENSMUSG00000000753",3274.999,2855.536,2973.894,3739.01,3324.001,4732,5106.204,4049.562
"ENSMUSG00000000759",2707.274,2674,2567,2656.014,2616.153,2530.001,2373.001,2942
"ENSMUSG00000000766",8,0,9,2,12,1,3,10
"ENSMUSG00000000776",1658.919,1523.876,1478,1874,1585.773,1930.031,1560.882,1798.342
"ENSMUSG00000000782",1305.165,796.289,1660,1791,1006,1540.873,1376.036,2608.004
"ENSMUSG00000000787",31825.395,30918.027,37502.509,30717.664,27083.017,27174.526,35446.684,32694.617
"ENSMUSG00000000791",19.003,24,13,18,18,26.001,63.029,26.001
"ENSMUSG00000000792",3,1,11,6,2,3,6,7
"ENSMUSG00000000794",73,175,58,155,126,145,164,76
"ENSMUSG00000000804",2861.001,3862.127,2926,2638.495,3216.999,2780.001,3013.499,2922.293
"ENSMUSG00000000805",7,4,3,6,31,17.015,13,3
"ENSMUSG00000000811",683,546,633,753,669.122,593,569.54,821
"ENSMUSG00000000817",4,10,4,4,28,10,61,10
"ENSMUSG00000000823",3394.42,2618.501,2790.971,3970.025,2370.574,4618.696,3770.338,4553.234
"ENSMUSG00000000826",5125,5403.12,4946.074,6235,5052.49,5163.466,5830.385,6131.057
"ENSMUSG00000000827",3033.001,2852.001,4099.991,3708.072,3400.61,3947.429,3044,4731
"ENSMUSG00000000838",3426.192,3002.45,3238.002,3782.801,2939.01,3690,3952.068,3763.374
"ENSMUSG00000000861",870.154,349,554,887,282.001,688.007,506.999,1343
"ENSMUSG00000000869",20.035,13,19,22,25,26,13,47
"ENSMUSG00000000876",632.642,1097.371,797.737,570.662,1427.88,699.093,461.81,1022.207
"ENSMUSG00000000881",1344.999,1429,1452.001,1589,1422,2007,1374,1784.623
"ENSMUSG00000000884",174,158.999,156.976,200.478,177,189.493,123.299,267.999
"ENSMUSG00000000889",3,2,3,9,7,3,3,7
"ENSMUSG00000000901",4016.058,2011.091,4503.208,3363.117,2704.88,2688.662,2654.276,10234.781
"ENSMUSG00000000902",3171.5,2578.874,3683.322,3385.103,3470.66,4231.429,3076.375,5105.593
"ENSMUSG00000000903",28,22,39,42,25,80,18,183
"ENSMUSG00000000915",1650.558,3807.421,1893.53,1928.405,5100.639,1145.676,905.315,2869.192
"ENSMUSG00000000916",701.238,608.044,738.757,929.961,755.165,861.509,808.777,965.72
"ENSMUSG00000000934",629.929,636.999,742.999,742,782,767,585.263,1016
"ENSMUSG00000000938",16,7,17,21,19,8,27,27
"ENSMUSG00000000942",16,26,22,35,31,52,34,35
"ENSMUSG00000000948",313.126,154.107,240.565,304.066,81.087,117.072,197.12,144.367
"ENSMUSG00000000957",4994.026,4859.192,6170.983,7170.216,4931.291,5954.144,7736.687,7627.504
"ENSMUSG00000000958",476.214,687.745,378.671,508.663,753.963,363.935,372.249,814.168
"ENSMUSG00000000959",3239.789,2573.004,3210.054,2781.337,2664.174,2931.218,2329.633,3514.323
"ENSMUSG00000000976",994.007,868.398,986.853,1329.003,809.185,1232.784,1106.31,1284.737
"ENSMUSG00000000982",59,26,56,36,121,93.002,302.152,113
"ENSMUSG00000000983",0,0,1,0,2,177,0,1
"ENSMUSG00000001014",61,34,117,87,48,129,60.908,92
"ENSMUSG00000001016",4874.568,3649.884,4689.557,4818.832,4754.244,4741.077,4781.953,5603.746
"ENSMUSG00000001017",5482.037,6264.986,6334.834,6975.154,6531.999,6845.518,6737.64,7115.494
"ENSMUSG00000001018",3166.82,4151.803,3765.168,2837.374,5074.653,4404.503,2688.37,4717.238
"ENSMUSG00000001020",413.482,148,1836.47,1557,258,124,185,1750.655
"ENSMUSG00000001021",9.712,18,85.931,21,27,7,31,59.951
"ENSMUSG00000001023",0,21,0,0,21,0,0,0
"ENSMUSG00000001025",4101.031,2684.871,11095.662,7453.833,6030.944,722,641.985,11546.055
"ENSMUSG00000001027",11,5,4,15,17,6,11,5
"ENSMUSG00000001029",436.001,515,420,464.083,713,436,556.999,330
"ENSMUSG00000001034",1269.259,1408,1134,1676,1367.131,1638.999,1490.476,1560.999
"ENSMUSG00000001036",4505.388,2348.999,2580.999,5628,1694,3881.484,3344.106,5348.497
"ENSMUSG00000001039",341,253,489.001,420,239.999,487.664,336,555.005
