ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSMUSG00000054920,2599.97594200326,0.249744844480772,0.233242939662987,1.07074985781618,0.28428191821071,0.5668559496955,Klhl5
ENSMUSG00000054931,79.7477873371007,-0.12161655323226,0.399435396570287,-0.304471146714859,0.760768971509808,0.901328752973449,Zkscan4
ENSMUSG00000054934,97.3243842515178,0.460616435143687,0.456095458653971,1.00991234708422,0.312537286605781,0.59679599951416,Kcnmb4
ENSMUSG00000054939,228.5347280308,-0.303320107388827,0.244855981393826,-1.23876944178451,0.215430893648324,0.49119032481537,Zfp174
ENSMUSG00000054942,2900.30069281369,-0.316656263000094,0.138784818899302,-2.28163473146043,0.0225109144142373,0.121913948673522,Miga1
ENSMUSG00000054951,183.130961052306,0.00526672333060258,0.359044164058489,0.0146687339826658,0.988296463341969,0.996147696616547,9130008F23Rik
ENSMUSG00000054966,36.0791077863333,0.482158306876198,0.722852847278263,0.667021384354583,0.504758474176915,0.755955181050145,Lmntd1
ENSMUSG00000054967,177.935326729982,0.296659483051577,0.26736342682948,1.10957391057372,0.267182678795618,0.549673204233373,Zfp647
ENSMUSG00000054986,20.7225657444082,-0.590026677078508,1.15958423847376,-0.508826058083629,0.61087415249674,0.823950211691032,Sec14l3
ENSMUSG00000054999,21.420314756225,0.663108342102035,0.43569717136951,1.52194777858601,0.128022166117575,0.367823063619742,Naaladl1
ENSMUSG00000055003,18.9058836209121,-0.330995323021902,0.785754090553054,-0.421245434164945,0.673575870622513,0.856412519041205,Lrtm2
ENSMUSG00000055013,2717.9140059211,-0.259960435578718,0.160343428952943,-1.62127277230058,0.104959151701631,0.328226916356127,Agap1
ENSMUSG00000055022,179.452386133289,-0.149298960027694,0.316145001113885,-0.472248365470475,0.636749521184225,0.838616462089178,Cntn1
ENSMUSG00000055024,3718.14827141189,-0.205185805109526,0.142195430822867,-1.44298451730933,0.149024832738855,0.402152573309831,Ep300
ENSMUSG00000055027,12.6957934511348,-0.438252853949786,0.531752460043437,-0.824167045534659,0.409844648987693,0.681234333359592,Smyd1
ENSMUSG00000055033,137.940220747853,-0.167279280244835,0.637641407660695,-0.262340679628272,0.793058802121946,0.91687414854252,Or6k2
ENSMUSG00000055041,416.82908956307,-0.0330477810791558,0.308877934946961,-0.106993013550258,0.914794522318808,0.968452538490643,Commd5
ENSMUSG00000055044,1745.46188461429,0.271720378433709,0.131978647820314,2.05882074806259,0.0395114133179419,0.177299289168104,Pdlim1
